"Localized Device Description","Country","Esn","Region Code Display Name","Ip","Device Description","Ts","Near Location"
"OnePlus_CPH2491_chid_5687eaa0-047a-11e9-b731-9f73876061f5","IN","NFANDROID1-PRV-P-ONEPLCPH2491-28264-0A6F43CEBC46E45E8F45C6425B44D99D7535E2080EA3C995DC36ACDC5EE1234C","Uttar Pradesh","110.226.199.164","OnePlus_CPH2491_chid_5687eaa0-047a-11e9-b731-9f73876061f5","2026-04-01 15:05:55","ASHRAFPUR JALAL"
"OnePlus_CPH2491_chid_5687eaa0-047a-11e9-b731-9f73876061f5","IN","NFANDROID1-PRV-P-ONEPLCPH2491-28264-0A6F43CEBC46E45E8F45C6425B44D99D7535E2080EA3C995DC36ACDC5EE1234C","Uttarakhand","223.188.19.218","OnePlus_CPH2491_chid_5687eaa0-047a-11e9-b731-9f73876061f5","2026-04-01 06:51:54","KAPHALTI"
"OnePlus_CPH2491_chid_5687eaa0-047a-11e9-b731-9f73876061f5","IN","NFANDROID1-PRV-P-ONEPLCPH2491-28264-0A6F43CEBC46E45E8F45C6425B44D99D7535E2080EA3C995DC36ACDC5EE1234C","Uttar Pradesh","2401:4900:bc7e:feae:0:0:2f8a:dd8","OnePlus_CPH2491_chid_5687eaa0-047a-11e9-b731-9f73876061f5","2026-04-01 02:49:17","FIROZABAD"
"OnePlus_CPH2491_chid_5687eaa0-047a-11e9-b731-9f73876061f5","IN","NFANDROID1-PRV-P-ONEPLCPH2491-28264-0A6F43CEBC46E45E8F45C6425B44D99D7535E2080EA3C995DC36ACDC5EE1234C","Uttar Pradesh","2401:4900:a675:cd10:0:0:5d9c:4482","OnePlus_CPH2491_chid_5687eaa0-047a-11e9-b731-9f73876061f5","2026-03-31 18:51:43","MANI MAZRA"
"OnePlus_CPH2491_chid_5687eaa0-047a-11e9-b731-9f73876061f5","IN","NFANDROID1-PRV-P-ONEPLCPH2491-28264-0A6F43CEBC46E45E8F45C6425B44D99D7535E2080EA3C995DC36ACDC5EE1234C","Uttarakhand","223.184.184.70","OnePlus_CPH2491_chid_5687eaa0-047a-11e9-b731-9f73876061f5","2026-03-31 14:08:05","HARIDWAR"
"OnePlus_CPH2491_chid_5687eaa0-047a-11e9-b731-9f73876061f5","IN","NFANDROID1-PRV-P-ONEPLCPH2491-28264-0A6F43CEBC46E45E8F45C6425B44D99D7535E2080EA3C995DC36ACDC5EE1234C","Uttar Pradesh","2401:4900:a603:f072:0:0:5d64:d124","OnePlus_CPH2491_chid_5687eaa0-047a-11e9-b731-9f73876061f5","2026-03-31 11:24:55","DANNAHAR"
"OnePlus_CPH2491_chid_5687eaa0-047a-11e9-b731-9f73876061f5","IN","NFANDROID1-PRV-P-ONEPLCPH2491-28264-0A6F43CEBC46E45E8F45C6425B44D99D7535E2080EA3C995DC36ACDC5EE1234C","Uttar Pradesh","2401:4900:a5fb:af40:0:0:5d38:d3ab","OnePlus_CPH2491_chid_5687eaa0-047a-11e9-b731-9f73876061f5","2026-03-31 04:36:24","LODHIPUR RAJPUT"
"OnePlus_CPH2491_chid_5687eaa0-047a-11e9-b731-9f73876061f5","IN","NFANDROID1-PRV-P-ONEPLCPH2491-28264-0A6F43CEBC46E45E8F45C6425B44D99D7535E2080EA3C995DC36ACDC5EE1234C","Uttarakhand","2401:4900:84cf:1739:0:0:5b8d:1e65","OnePlus_CPH2491_chid_5687eaa0-047a-11e9-b731-9f73876061f5","2026-03-30 18:03:54","BHILKOT"
"OnePlus_CPH2491_chid_5687eaa0-047a-11e9-b731-9f73876061f5","IN","NFANDROID1-PRV-P-ONEPLCPH2491-28264-0A6F43CEBC46E45E8F45C6425B44D99D7535E2080EA3C995DC36ACDC5EE1234C","Uttar Pradesh","2401:4900:84dd:35f0:0:0:5b60:8205","OnePlus_CPH2491_chid_5687eaa0-047a-11e9-b731-9f73876061f5","2026-03-30 14:44:41","DILLI"
"OnePlus_CPH2491_chid_5687eaa0-047a-11e9-b731-9f73876061f5","IN","NFANDROID1-PRV-P-ONEPLCPH2491-28264-0A6F43CEBC46E45E8F45C6425B44D99D7535E2080EA3C995DC36ACDC5EE1234C","Uttar Pradesh","223.184.189.192","OnePlus_CPH2491_chid_5687eaa0-047a-11e9-b731-9f73876061f5","2026-03-30 07:39:18","GAWAN"
